Land;Region;Region;Rangliste;Soziale Unterstützung;Freiheit;Korruption;Spende;Großzügigkeit;positive Beeinflussung;negative Beeinflussung;Happiness ;Lebenserwartung;BIP Skaliert;Gini-Index;Arbeitslosigkeit;Christen;Juden;Islam;Buddhisten;Hinduisten;Atheisten;CHRSGEN;JUDGEN;ISLMGEN;BUDGEN;HINDGEN;NONRELIG;POP
Afghanistan;4;Südasien;4,04;0,525;0,54;0,755;0,348;0,207;0,663;0,27;0,721;36,535;0,020365709;0,28;0,085;0,000269889;0;0,995555556;9,26E-05;0,000296296;0,002037037;7287;0;26880000;2500;8000;55000;27000000
Argentinien;6;Latein Amerika und Karibik;6,562;0,906;0,764;0,81;0,199;-0,15;0,847;0,238;0,813;65,543;0,299120052;0,445;0,077;0,851502867;0,006806932;0,015123765;0,000179109;4,87E-05;0,119999999;34400709;275000;611000;7236;1967;4847999;40399992
Australien;2;Gemeinschaft unabhäniger Staaten;;;;;;;;;;;;0,3494;0,052;0,61451729;0,004548364;0,022256542;0,024718551;0,008411215;0,310113785;13150670;97335;476290;528977;180000;6636435;21400000
Bangladesch;4;Südasien;4,804;0,58;0,707;0,767;0,161;-0,025;0,691;0,215;0,702;54,965;0,031682303;0,3198;0,045;0,000199999;0,001201705;0,896999992;0,005999999;0,089999994;0,000791503;29458;177000;132119746;883744;13256161;116581;147290688
Brasilien;6;Latein Amerika und Karibik;6,849;0,904;0,829;0,646;0,252;-0,07;0,794;0,288;0,853;60,5;0,20681908;0,535;0,079;0,88234806;0,000560927;0,000184356;0,001279122;2,98E-05;0,085;168313010;107000;35167;244000;5675;16214243;190755800
Bulgarien;1;Mittel-Osteuropa;3,981;0,846;0,599;0,945;0,154;-0,179;0,55;0,246;0,456;66,051;0,240623245;0,3565;0,102;0,822704594;0,000265127;0,128851681;0;0;0,047281939;6206119;2000;972000;0;0;356674;7543557
China;5;Ostasien;4,978;0,782;0,812;0,808;0,115;-0,186;0,808;0,153;0,785;64,726;0,145472322;0,4206;0,042;0,058007669;1,92E-06;0,024999999;0,126;1,38E-05;0,325;78030424;2579;33629356;169491958;18572;437181638;1345174272
Costa Rica;6;Latein Amerika und Karibik;7,257;0,903;0,912;0,802;0,341;0,015;0,886;0,251;0,881;67,385;0,217178756;0,481;0,073;0,882188989;0,000853933;0;0,000269663;0,125393258;0,1;3925741;3800;0;1200;558000;445000;4450000
Deutschland;0;West Europa;6,672;0,942;0,894;0,678;0,451;0,046;0,799;0,168;0,865;73,065;0,708452081;0,3114;0,071;0,707817831;0,001456567;0,024480111;0,002998814;0,001193405;0,229999994;57827992;119000;2000000;245000;97500;18790764;81698976
Ecuador;6;Latein Amerika und Karibik;5,865;0,814;0,779;0,745;0,191;-0,11;0,845;0,275;0,837;62,47;0,151921117;0,4925;0,05;0,902962253;7,04E-05;0,000105566;0,000525014;0;0,084999941;12830327;1000;1500;7460;0;1207777;14209151
Georgien;2;Gemeinschaft unabhäniger Staaten;4,187;0,525;0,616;0,375;0,032;-0,235;0,525;0,246;0,527;64,93;0,094942897;0,4213;0,163;0,797999907;0,002695179;0,098999999;0;0;0,087593326;3553010;12000;440787;0;0;390000;4452394
Großbritanien;0;West Europa;6,883;0,947;0,887;0,448;0,744;0,339;0,845;0,18;0,873;71,645;0,682261655;0,3481;0,079;0,626253487;0,004227828;0,043403562;0,003999992;0,013133596;0,261627027;38957273;263000;2700000;248827;817000;16275000;62206876
Guatemala;6;Latein Amerika und Karibik;5,965;0,81;0,774;0,835;0,33;0,067;0,852;0,291;0,851;58,208;0,089638243;0,5235;0,037;0,949999939;0,000144671;0,000144671;0;0;0,045936685;13133239;2000;2000;0;0;635050;13824463
Honduras;6;Latein Amerika und Karibik;5,142;0,782;0,712;0,867;0,301;0,053;0,82;0,288;0,813;59,36;0,073391442;0,5339;0,048;0,889999911;0,049612355;0,049612355;0;0;0,099999888;7121814;397000;397000;0;0;800203;8002039
Indien;4;Südasien;4,772;0,554;0,71;0,855;0,259;0,022;0,649;0,27;0,667;54,588;0,063926276;0,339;0,035;0,023409063;4,18E-06;0,134;0,007733547;0,80451971;0,003110837;27973830;5000;160130000;9241589;961401054;3717450;1195000000
Irak;8;Mittel-Ost und Nordafrika;4,817;0,763;0,36;0,828;0,2;-0,033;0,472;0,489;0,454;57,881;0,068440432;0,2954;0,152;0,018867925;0;0,95;0;0;0,011006289;600000;0;30210000;0;0;350000;31800000
Israel;8;Mittel-Ost und Nordafrika;7,301;0,893;0,657;0,888;0,524;0,133;0,694;0,355;0,713;68,155;0,540617004;0,4278;0,066;0,019988212;0,730972967;0,199882117;0;0;0,044986592;152400;5573299;1524000;0;0;343000;7624494
Italien;0;West Europa;6,021;0,881;0,611;0,923;0,401;0,032;0,648;0,32;0,581;73,643;0,561669198;0,3441;0,084;0,793920658;0,000644807;0,011573457;0,000146007;0,000130995;0,186828665;48018881;39000;700000;8831;7923;11300000;60483224
Japan;5;Ostasien;6,064;0,908;0,78;0,727;0,284;-0,118;0,789;0,178;0,786;75,134;0,634020511;0,3211;0,05;0,019615258;7,85E-06;0,001529999;0,690737826;0,000184384;0,094999993;2499998;1000;195001;88035713;23500;12107911;127451704
Kambodscha;3;Süd-Ostasien;4,067;0,673;0,941;0,852;0,535;0,327;0,798;0,361;0,814;48,873;0,041126667;0,3344;0,004;0,003736505;0;0,019186896;0,966934881;0;0,003919153;57199;0;293716;14801990;0;59995;15308156
Kanada;7;Nordamerika;7,477;0,942;0,932;0,437;0,653;0,247;0,872;0,236;0,911;72,082;0,734205654;0,3368;0,08;0,766118957;0,009863884;0,01942029;0,01942029;0,000797101;0,164347826;26431104;340304;670000;670000;27500;5670000;34500000
Kasachstan;2;Gemeinschaft unabhäniger Staaten;5,671;0,9;0,835;0,835;0,134;-0,195;0,71;0,163;0,654;57,843;0,227455222;0,2856;0,058;0,289999944;0,000202257;0,593225862;0;0;0,115225393;4731595;3300;9678983;0;0;1880000;16315848
Kolumbien;6;Latein Amerika und Karibik;6,416;0,904;0,818;0,843;0,257;-0,055;0,836;0,281;0,831;62,697;0,177570677;0,555;0,12;0,970097138;0,000174857;0,000599201;3,50E-05;0,000174857;0,015;44910647;8095;27740;1619;8095;694425;46295000
Madagaskar;9;Subsahara Afrika;3,966;0,746;0,516;0,878;0,094;-0,055;0,599;0,214;0,448;49,479;0,017911007;0,4063;0,036;0,585808018;0,014996022;0,054707875;0,000250015;0,000579976;0,006086048;12031782;308000;1123633;5135;11912;125000;20538780
Mazedonien;1;Mittel-Osteuropa;4,574;0,756;0,578;0,886;0,23;-0,088;0,598;0,366;0,664;62,855;0,193297414;0,4405;0,32;0,637361259;0;0,341999993;0;0;0,018999648;1310808;0;703363;0;0;39075;2056617
Mexiko;6;Latein Amerika und Karibik;7,088;0,809;0,796;0,669;0,249;-0,094;0,8;0,25;0,819;66,225;0,260448087;0,4813;0,052;0,968618866;0,000600659;3,35E-05;0;0;0,027172895;108811290;67476;3760;0;0;3052509;112336538
Nepal;4;Südasien;4,156;0,747;0,58;0,907;0,236;0,076;0,711;0,224;0,739;52,79;0,022612386;0,3275;0,027;0,014180186;0;0,043872118;0,090437587;0,813432552;0,001887184;375697;0;1162370;2396099;21551492;50000;26494504
Niederlande;0;West Europa;7,512;0,945;0,908;0,378;0,728;0,312;0,859;0,205;0,844;72,338;0,766657652;0,2873;0,045;0,579444891;0,001547026;0,057999983;0,012100029;0,006450014;0,339999971;9626041;25700;963526;201012;107151;5648257;16612522
Nigeria;9;Subsahara Afrika;5,248;0,812;0,66;0,907;0,264;0,05;0,797;0,194;0,829;42,953;0,044933536;0,4297;0,076;0,420000002;0,000648885;0,507977709;5,34E-05;0;0,003141442;64726375;100000;78284656;8229;0;484129;154110416
Norwegen;0;West Europa;7,655;0,942;0,947;0,421;0,498;0,063;0,823;0,213;0,749;72,492;1;0,2586;0,036;0,84005202;0,168472095;0,020368133;0,00275328;0,001065079;0,110540621;4103723;823000;99500;13450;5203;540000;4885082
Österreich;0;West Europa;;;;;;;;;;;;0,3025;0,044;0,729999782;0,000989062;0,047506779;0;0;0,154209573;6124531;8298;398571;0;0;1293783;8389771
Pakistan;4;Südasien;5,292;0,542;0,368;0,854;0,385;0,163;0,655;0,345;0,682;53,735;0,050030164;0,2959;0,05;0,016999989;0;0,956917136;0,000575138;0,021999996;0,000971347;2863590;0;161189415;96880;3705824;163620;168446576
Paraguay;6;Latein Amerika und Karibik;5,779;0,896;0,714;0,774;0,445;0,178;0,834;0,193;0,755;62,655;0,094339623;0,5183;0,057;0,951000048;0,000496957;0,000599973;0,002290059;0;0,029999882;6138983;3208;3873;14783;0;193658;6455292
Peru;6;Latein Amerika und Karibik;5,776;0,777;0,744;0,861;0,202;-0,109;0,779;0,353;0,776;61,715;0,17711302;0,4621;0,04;0,937999968;0,000102032;0,000204063;0,000346908;0;0,039999971;27579681;3000;6000;10200;0;1176105;29402646
Philippinen;3;Süd-Ostasien;4,985;0,805;0,901;0,788;0,304;0,054;0,864;0,339;0,913;60,298;0,073849098;0,4291;0,073;0,917429968;0,003257401;0,055525334;0,00114009;0;0,009324646;84493445;300000;5113771;105000;0;858781;92097978
Polen;1;Mittel-Osteuropa;5,822;0,937;0,818;0,904;0,327;-0,034;0,747;0,24;0,64;66,591;0,357346425;0,3322;0,096;0,904583227;4,19E-05;0,000133568;3,93E-05;0;0,079999984;34539629;1600;5100;1500;0;3054633;38182920
Rumänien;1;Mittel-Osteuropa;5,033;0,727;0,62;0,966;0,226;-0,103;0,565;0,327;0,47;64,386;0,225999043;0,2816;0,073;0,975101224;0,000443238;0,003965813;0;0;0,01632982;20899522;9500;85000;0;0;350000;21433182
Russland;2;Gemeinschaft unabhäniger Staaten;5,464;0,901;0,615;0,941;0,06;-0,288;0,599;0,171;0,484;59,729;0,293378544;0,4094;0,073;0,742258118;0,00136236;0,115744382;0;0;0,140449438;105697556;194000;16482000;0;0;20000000;142400000
Sambia;9;Subsahara Afrika;5,006;0,822;0,726;0,846;0,211;0,027;0,78;0,227;0,792;37,099;0,029456429;0,5562;0,132;0,869999868;0,000128991;0,005454438;0,000300008;0,004999979;0,001796903;11344499;1682;71124;3912;65198;23431;13039656
Senegal;9;Subsahara Afrika;3,959;0,691;0,695;0,857;0,102;-0,096;0,764;0,179;0,775;48,976;0,035988434;0,4028;0,102;0,034867725;0;0,938925603;0,000134971;0;0,001666984;421345;0;11346069;1631;0;20144;12084098
Serbien;1;Mittel-Osteuropa;4,813;0,773;0,455;0,964;0,152;-0,169;0,531;0,399;0,614;62,551;0,200411891;0,2965;0,192;0,912210355;0,080351132;0,031004705;0;0;0,052790419;6652741;586000;226117;0;0;385000;7292990
Slovakei;1;Mittel-Osteuropa;5,969;0,921;0,663;0,908;0,316;-0,057;0,653;0,289;0,589;67,308;0,418755591;0,2732;0,144;0,754827762;0,000449933;0,095875283;0;0;0,134400033;4101842;2445;521000;0;0;730349;5434143
Spanien;0;West Europa;6,322;0,942;0,781;0,842;0,272;-0,11;0,74;0,353;0,804;73,647;0,561086726;0,3579;0,202;0,80565;0,000260436;0,030384255;0,000221371;0;0,159999992;37121529;12000;1400000;10200;0;7372239;46076496
Sri Lanka;4;Südasien;4,151;0,826;0,79;0,793;0,474;0,199;0,844;0,183;0,848;61,961;0,097543217;0,362;0,049;0,072635859;0;0,095961997;0,702643671;0,124614924;0,000460465;1495578;0;1975865;14467488;2565831;9481;20590078
Süd Afrika;9;Subsahara Afrika;4,963;0,897;0,689;0,821;0,132;-0,188;0,77;0,178;0,741;45,275;0,198706081;0,6338;0,247;0,809418571;0,00163;0,016892538;0,003179995;0,014999994;0,06397174;40488807;81536;845000;159070;750331;3200000;50022088
Thailand;3;Süd-Ostasien;6,371;0,899;0,87;0,918;0,738;0,435;0,886;0,143;0,936;60,477;0,156560088;0,394;0,01;0,005999958;0,002970291;0,099999982;0,86999999;0,000831681;0,009999989;403998;200000;6733346;58580120;56000;673334;67333472
Tschechien;1;Mittel-Osteuropa;6,29;0,924;0,771;0,942;0,287;-0,097;0,623;0,249;0,475;69,322;0,488693807;0,2663;0,073;0,213828976;0,000695009;0,000127004;0;0;0,757467102;2252712;7322;1338;0;0;7980000;10535111
Türkei;8;Mittel-Ost und Nordafrika;5,345;0,741;0,475;0,71;0,126;-0,214;0,64;0,344;0,707;62,912;0,266043977;0,3878;0,119;0,004170945;0,000195344;0,985832666;0;0;0,004999998;320277;15000;75699756;0;0;383938;76787632
Ukraine;2;Gemeinschaft unabhäniger Staaten;5,057;0,88;0,542;0,934;0,087;-0,2;0,558;0,213;0,47;61,601;0,125897111;0,2482;0,081;0,851999966;0,001456348;0,009911864;0,00099999;0;0,134766566;39196664;67000;456000;46005;0;6200000;46005476
Ungarn;1;Mittel-Osteuropa;4,775;0,898;0,572;0,953;0,227;-0,134;0,65;0,285;0,635;66,325;0,353373136;0,2937;0,112;0,67364596;0,001107576;0,000454545;0;0;0,271596465;6669095;10965;4500;0;0;2688805;9900000
Uruguay;6;Latein Amerika und Karibik;6,355;0,883;0,852;0,537;0,273;-0,066;0,8;0,232;0,75;66,434;0,260822533;0,4532;0,072;0,8182817;0,002999989;0,000302382;0,009533232;0;0,171999765;2746709;10070;1015;32000;0;577348;3356679
USA;7;Nordamerika;7,082;0,917;0,834;0,698;0,621;0,191;0,844;0,254;0,877;69,689;0,875122215;0,4046;0,097;0,745359894;0,018999994;0,009;0,010904032;0,005748035;0,19;233111307;5942248;2814750;3410236;1797698;59422500;312750000
Vietnam;3;Süd-Ostasien;5,533;0,809;0,841;0,766;0,211;-0,024;0,613;0,213;0,637;62,188;0,060431445;0,4268;0,026;0,091044346;0;0,001066175;0,48999998;0,000568712;0,363999992;8004439;0;93736;43079830;50000;32002160;87918024
